DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"BCN","Baja California","Ensenada","02001","2019","7","0","4934","0",
"BCN","Baja California","Mexicali","02002","2019","7","0","473","0",
"BCN","Baja California","Tijuana","02004","2019","7","0","109","0",
"BCS","Baja California Sur","Comondú","03001","2019","7","0","1665","1665",
"BCS","Baja California Sur","La Paz","03003","2019","7","0","1","0",
"CHH","Chihuahua","Cuauhtémoc","08017","2019","7","0","29","0",
"CHH","Chihuahua","Chihuahua","08019","2019","7","0","94","0",
"CHH","Chihuahua","Delicias","08021","2019","7","0","14","0",
"CHH","Chihuahua","Juárez","08037","2019","7","0","305","0",
"CHH","Chihuahua","Valle de Zaragoza","08067","2019","7","0","9","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","7","0","11","0",
"CMX","Ciudad de México","Venustiano Carranza","09017","2019","7","0","10","0",
"DUR","Durango","Tamazula","10034","2019","7","1","0","0",
"GRO","Guerrero","Acapulco de Juárez","12001","2019","7","0","26","0",
"GRO","Guerrero","Atlixtac","12010","2019","7","1","0","0",
"JAL","Jalisco","Guadalajara","14039","2019","7","0","17","0",
"JAL","Jalisco","Ocotlán","14063","2019","7","0","5","0",
"JAL","Jalisco","Puerto Vallarta","14067","2019","7","0","2","0",
"JAL","Jalisco","San Juan de los Lagos","14073","2019","7","0","5","0",
"JAL","Jalisco","Tequila","14094","2019","7","5","6","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","7","0","38","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","7","0","33","0",
"JAL","Jalisco","Zapopan","14120","2019","7","0","4","0",
"MEX","México","Ecatepec de Morelos","15033","2019","7","0","1","0",
"MEX","México","Zinacantepec","15118","2019","7","0","4","0",
"MEX","México","Cuautitlán Izcalli","15121","2019","7","0","1","0",
"MIC","Michoacán de Ocampo","Morelia","16053","2019","7","0","2","0",
"NAY","Nayarit","Santiago Ixcuintla","18015","2019","7","0","2","0",
"NAY","Nayarit","La Yesca","18019","2019","7","1","0","0",
"OAX","Oaxaca","Matías Romero Avendaño","20057","2019","7","0","4","0",
"OAX","Oaxaca","San Carlos Yautepec","20125","2019","7","1","0","0",
"OAX","Oaxaca","San Cristóbal Suchixtlahuaca","20129","2019","7","0","4","0",
"OAX","Oaxaca","San Juan Lachigalla","20203","2019","7","4","0","0",
"OAX","Oaxaca","San Miguel Chimalapa","20265","2019","7","1","0","0",
"OAX","Oaxaca","Santa Lucía Miahuatlán","20391","2019","7","3","0","0",
"OAX","Oaxaca","Santa María Quiegolani","20428","2019","7","1","0","0",
"OAX","Oaxaca","Santiago Amoltepec","20450","2019","7","2","0","0",
"OAX","Oaxaca","Santo Domingo Tepuxtepec","20517","2019","7","0","10","0",
"PUE","Puebla","Huejotzingo","21074","2019","7","0","10","0",
"ROO","Quintana Roo","Benito Juárez","23005","2019","7","0","55","0",
"SLP","San Luis Potosí","San Luis Potosí","24028","2019","7","0","2","0",
"SIN","Sinaloa","Badiraguato","25003","2019","7","2","0","0",
"SIN","Sinaloa","Culiacán","25006","2019","7","0","4","0",
"SIN","Sinaloa","Mazatlán","25012","2019","7","0","1","0",
"SON","Sonora","Agua Prieta","26002","2019","7","0","10","0",
"SON","Sonora","Cajeme","26018","2019","7","0","5","0",
"SON","Sonora","Hermosillo","26030","2019","7","0","17","0",
"SON","Sonora","Puerto Peñasco","26048","2019","7","0","1490","1490",
"SON","Sonora","San Luis Río Colorado","26055","2019","7","0","43","43",
"TAM","Tamaulipas","Reynosa","28032","2019","7","0","134","0",
"TAM","Tamaulipas","Victoria","28041","2019","7","0","1","0",
"VER","Veracruz de Ignacio de la Llave","Cotaxtla","30049","2019","7","0","3","0",
"VER","Veracruz de Ignacio de la Llave","Minatitlán","30108","2019","7","0","7","0",
"YUC","Yucatán","Mérida","31050","2019","7","0","7","0",
"YUC","Yucatán","Umán","31101","2019","7","0","1","0",
"ZAC","Zacatecas","Teúl de González Ortega","32047","2019","7","1","0","0",
