DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"BCN","Baja California","Ensenada","02001","2019","1","0","2610","562",
"BCN","Baja California","Mexicali","02002","2019","1","0","1","0",
"BCN","Baja California","Tijuana","02004","2019","1","0","232","0",
"BCS","Baja California Sur","La Paz","03003","2019","1","0","1","0",
"COA","Coahuila de Zaragoza","Saltillo","05030","2019","1","0","8829","0",
"COL","Colima","Colima","06002","2019","1","0","1","0",
"CHH","Chihuahua","Guachochi","08027","2019","1","1","0","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","1","7","0","0",
"CHH","Chihuahua","Juárez","08037","2019","1","0","15","0",
"CHH","Chihuahua","Urique","08065","2019","1","0","133","26",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","1","0","3","0",
"CMX","Ciudad de México","Venustiano Carranza","09017","2019","1","0","8","0",
"DUR","Durango","Pueblo Nuevo","10023","2019","1","2","0","0",
"DUR","Durango","Tamazula","10034","2019","1","2","0","0",
"GUA","Guanajuato","Irapuato","11017","2019","1","0","516","0",
"GRO","Guerrero","Acapulco de Juárez","12001","2019","1","0","51","0",
"GRO","Guerrero","Iguala de la Independencia","12035","2019","1","0","565","0",
"GRO","Guerrero","Leonardo Bravo","12040","2019","1","1","0","0",
"JAL","Jalisco","Acatic","14001","2019","1","0","2","0",
"JAL","Jalisco","Amatitán","14005","2019","1","0","40","0",
"JAL","Jalisco","Autlán de Navarro","14015","2019","1","0","1","0",
"JAL","Jalisco","Guadalajara","14039","2019","1","0","764","0",
"JAL","Jalisco","Ixtlahuacán de los Membrillos","14044","2019","1","0","38","0",
"JAL","Jalisco","Ocotlán","14063","2019","1","0","15","0",
"JAL","Jalisco","Puerto Vallarta","14067","2019","1","0","6","2",
"JAL","Jalisco","Tequila","14094","2019","1","3","0","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","1","0","16","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","1","0","13","0",
"JAL","Jalisco","Zapopan","14120","2019","1","0","4","0",
"JAL","Jalisco","San Ignacio Cerro Gordo","14125","2019","1","0","115","0",
"MEX","México","Ecatepec de Morelos","15033","2019","1","0","30","0",
"MEX","México","Ocoyoacac","15062","2019","1","0","110","0",
"MEX","México","Cuautitlán Izcalli","15121","2019","1","0","9","0",
"MIC","Michoacán de Ocampo","Morelia","16053","2019","1","0","24","0",
"MIC","Michoacán de Ocampo","Puruándiro","16071","2019","1","0","20","0",
"MIC","Michoacán de Ocampo","Uruapan","16102","2019","1","0","1","0",
"NAY","Nayarit","Tepic","18017","2019","1","0","33","0",
"NLE","Nuevo León","Sabinas Hidalgo","19044","2019","1","0","1","0",
"OAX","Oaxaca","Asunción Ixtaltepec","20005","2019","1","1","0","0",
"OAX","Oaxaca","Nejapa de Madero","20064","2019","1","1","0","0",
"OAX","Oaxaca","Santiago Niltepec","20066","2019","1","1","0","0",
"OAX","Oaxaca","San Carlos Yautepec","20125","2019","1","11","0","0",
"OAX","Oaxaca","San Juan Lachigalla","20203","2019","1","2","0","0",
"OAX","Oaxaca","San Miguel Chimalapa","20265","2019","1","13","0","0",
"OAX","Oaxaca","Villa Sola de Vega","20277","2019","1","4","0","0",
"OAX","Oaxaca","San Nicolás","20289","2019","1","2","0","0",
"OAX","Oaxaca","San Pedro Quiatoni","20325","2019","1","3","128","0",
"OAX","Oaxaca","Santa Lucía Miahuatlán","20391","2019","1","4","0","0",
"OAX","Oaxaca","Santa María Quiegolani","20428","2019","1","6","0","0",
"OAX","Oaxaca","Santiago Textitlán","20491","2019","1","2","0","0",
"OAX","Oaxaca","Santo Domingo Tepuxtepec","20517","2019","1","1","0","0",
"OAX","Oaxaca","San Mateo Yucutindoo","20566","2019","1","2","0","0",
"ROO","Quintana Roo","Cozumel","23001","2019","1","0","43","0",
"ROO","Quintana Roo","Othón P. Blanco","23004","2019","1","0","17","17",
"ROO","Quintana Roo","Benito Juárez","23005","2019","1","0","68","0",
"ROO","Quintana Roo","Solidaridad","23008","2019","1","0","21","0",
"SIN","Sinaloa","Badiraguato","25003","2019","1","20","0","0",
"SIN","Sinaloa","Concordia","25004","2019","1","1","0","0",
"SIN","Sinaloa","Culiacán","25006","2019","1","4","7","0",
"SIN","Sinaloa","Escuinapa","25009","2019","1","0","3","0",
"SIN","Sinaloa","Mazatlán","25012","2019","1","17","1","0",
"SIN","Sinaloa","Mocorito","25013","2019","1","1","50","0",
"SIN","Sinaloa","San Ignacio","25016","2019","1","3","0","0",
"SIN","Sinaloa","Sinaloa","25017","2019","1","12","0","0",
"SON","Sonora","Agua Prieta","26002","2019","1","0","602","0",
"SON","Sonora","Hermosillo","26030","2019","1","0","119","0",
"SON","Sonora","Nogales","26043","2019","1","0","1020","0",
"SON","Sonora","San Luis Río Colorado","26055","2019","1","0","39","0",
"SON","Sonora","Yécora","26069","2019","1","0","3","1",
"TAM","Tamaulipas","Gustavo Díaz Ordaz","28015","2019","1","0","247","0",
"TAM","Tamaulipas","Matamoros","28022","2019","1","0","47","0",
"TAM","Tamaulipas","Reynosa","28032","2019","1","0","401","0",
"VER","Veracruz de Ignacio de la Llave","Coatzacoalcos","30039","2019","1","0","1","1",
"VER","Veracruz de Ignacio de la Llave","Cotaxtla","30049","2019","1","0","2","0",
"VER","Veracruz de Ignacio de la Llave","Veracruz","30193","2019","1","0","23","1",
