ResponseID,StartDate,EndDate,age,gender,education,status,state,municipality,purchase_date,quality,bad_quantity,bad_value,good_quantity,good_value,relationship,experience,frequency,average_amount
R_01hjGq9aqsAPqCt,30/08/19 16:49,30/08/19 16:52,27,Men,Graduate,Upper middle class,Ciudad de México,Coyoacán 09003,29aug2019,Good,,,28.0,750.0,Stranger,24.0,1.0,28.0
R_037gtwW9xcndfwt,23/03/19 10:27,23/03/19 10:35,21,Men,High school,Middle class,Veracruz,Perote 30128,22-mar-19,Good,,,9.0,500.0,Acquaintance,14.0,5.0,10.0
R_03qTRaZXIrtVqjT,19/02/19 21:12,19/02/19 21:17,24,Men,Graduate,Middle class,Quintana Roo,Benito Juárez 23005,17-feb-19,Good,,,100.0,1000.0,Friend,17.0,30.0,28.0
R_07izWRSgx1xoVcB,21/07/19 00:08,21/07/19 12:33,19,Other,High school,Lower middle class,Sonora,Alamos 26003,03-jul-19,Bad,10.0,50.0,,,Stranger,19.0,1.0,
R_08PPO1JVpj2NDbz,26/08/19 20:05,26/08/19 20:07,25,Men,Bachelor,Lower middle class,Campeche,Campeche 04002,16aug2019,Good,,,13.0,200.0,Acquaintance,15.0,15.0,8.0
R_09d3iOBSH9f4v61,01/07/19 22:53,01/07/19 22:58,32,Women,Bachelor,Upper middle class,Ciudad de México,Cuauhtémoc 09015,,Good,,,15.0,900.0,Acquaintance,31.0,45.0,15.0
R_0AEmoW3ZbH6ljqN,30/08/19 17:34,30/08/19 17:40,31,Women,Bachelor,Lower middle class,Colima,Villa de Álvarez 06010,15aug2019,Good,,,,100.0,Acquaintance,26.0,45.0,10.0
R_0AItdyxvJgAJN4d,29/06/19 17:23,29/06/19 17:25,21,Men,High school,Middle class,México,Morelos 15056,29-jun-19,Good,,,5.0,70.0,Stranger,,,
R_0AkNXmePDyQ0CeB,02/07/19 15:14,02/07/19 15:18,19,Men,High school,Upper middle class,Guanajuato,Irapuato 11017,01-jul-19,Good,,,15.0,50.0,Stranger,15.0,20.0,20.0
R_0CA7gWTeHg6j3s5,28/02/19 10:39,28/02/19 10:48,28,Men,Middle school,Lower middle class,México,Cuautitlán 15024,14-feb-19,Bad,125.0,300.0,,,Stranger,15.0,15.0,50.0
R_0Gnw9ml2MmeW3ct,10/04/19 22:54,10/04/19 23:02,37,Men,Bachelor,Upper middle class,Ciudad de México,Tlalpan 09012,09apr2019,Good,,,28.0,800.0,Friend,25.0,30.0,28.0
R_0H8TsKeeKAC6JuV,21/03/19 18:33,21/03/19 18:44,19,Men,High school,Middle class,México,Naucalpan de Juárez 15057,20-mar-19,Good,,,4.0,320.0,Acquaintance,15.0,5.0,5.0
R_0HcE3CnsnWqyxfH,23/03/19 15:36,23/03/19 15:50,26,Men,Middle school,Lower middle class,México,Ecatepec de Morelos 15033,22-mar-19,Good,,,16.0,100.0,Acquaintance,19.0,7.0,16.0
R_0IfTBvUWmsVMBA5,01/04/19 11:15,01/04/19 11:20,21,Men,Bachelor,Middle class,Campeche,Campeche 04002,29-mar-19,Good,,,1.0,100.0,Acquaintance,18.0,8.0,10.0
R_0JMlSubmTiZSpXj,22/02/19 12:41,22/02/19 12:45,22,Women,High school,Middle class,Michoacán,Lázaro Cárdenas 16052,18-feb-19,Good,,,,,,,,
R_0MyZqIJnIGMzGeJ,24/08/19 20:10,24/08/19 20:11,21,Men,Bachelor,Middle class,Tamaulipas,Tampico 28038,,,,,,,,,,
R_0N8ofWckvltqHDz,27/02/19 18:19,27/02/19 18:24,19,Men,High school,Middle class,Durango,Gómez Palacio 10007,26-feb-19,Bad,500.0,2500.0,,,Friend,16.0,5.0,2.0
R_0NELpmZedH0SurL,19/02/19 23:04,19/02/19 23:05,37,Men,High school,Middle class,Ciudad de México,Cuauhtémoc 09015,07-feb-19,Bad,1.0,67.0,,,Stranger,20.0,90.0,1.0
R_0NExqxPhYbedVER,08/06/19 09:34,08/06/19 09:38,28,Men,Graduate,Lower middle class,Ciudad de México,Coyoacán 09003,01-may-19,Good,,,28.0,450.0,Stranger,19.0,60.0,28.0
R_0NHlB0RokAQUo8h,23/03/19 19:30,23/03/19 19:33,46,Men,Bachelor,Middle class,Sinaloa,Mazatlán 25012,15-mar-19,Good,,,14.0,1000.0,Friend,18.0,30.0,14.0
R_0NihspP7EBQGgOR,01/07/19 23:43,01/07/19 23:50,23,Men,High school,Lower middle class,Nuevo León,García 19018,01-jul-19,Good,,,3.0,100.0,Friend,18.0,3.0,4.0
R_0SNISRtzGiuMpEJ,01/07/19 12:48,01/07/19 12:51,20,Men,High school,Middle class,Jalisco,Guadalajara 14039,29-jun-19,Good,,,14.0,500.0,Family,16.0,30.0,14.0
R_0SWRkdfv1kNnLRT,19/02/19 16:33,19/02/19 16:40,26,Men,Bachelor,Middle class,Guanajuato,León 11020,01-feb-19,Good,,,500.0,1500.0,Stranger,15.0,20.0,100.0
R_0Sq4g4fFHGuE2fn,18/05/19 15:33,18/05/19 15:36,41,Men,High school,Lower class,Ciudad de México,Iztapalapa 09007,16-may-19,Bad,3.0,50.0,,,Stranger,22.0,7.0,3.0
R_0TdXAoIpoSJjvot,05/03/19 16:49,05/03/19 16:51,28,Men,Bachelor,Middle class,Ciudad de México,Miguel Hidalgo 09016,04-mar-19,Good,,,33.0,2100.0,Acquaintance,15.0,20.0,25.0
R_0TimHjoi5WKoww1,21/02/19 16:03,21/02/19 16:22,26,Men,High school,Lower middle class,Ciudad de México,Gustavo A. Madero 09005,16-feb-19,Bad,5.0,50.0,,,Friend,13.0,8.0,5.0
R_0Tk0N2IaUSskwmJ,21/03/19 20:30,21/03/19 20:42,21,Women,High school,Upper middle class,México,Huixquilucan 15037,20-mar-19,Good,,,2.0,200.0,Stranger,14.0,7.0,2.0
R_0USGVvfv2cvPQrL,22/03/19 16:36,22/03/19 16:39,29,Men,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,01-mar-17,Good,,,1.0,50.0,Acquaintance,17.0,365.0,1.0
R_0VcV4N4z07F7VXX,23/03/19 16:15,23/03/19 16:16,13,,,,,,,,,,,,,,,
R_0cc9Va9I5FabTcR,22/03/19 21:52,22/03/19 21:57,23,Women,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,15-mar-19,Good,,,26.0,600.0,Acquaintance,13.0,15.0,26.0
